DISEASE,PREVENTION,HOME REMEDIES,MEDICINE
Common cold,"Wash your hands frequently, avoid close contact with sick people, and avoid touching your face.",Drink hot tea with honey and lemon to soothe a sore throat and relieve congestion.,Over-the-counter cold and cough medicines may help relieve symptoms like coughing and congestion. Pain relievers like acetaminophen or ibuprofen may also be used to alleviate fever and body aches
Influenza (flu),"Get vaccinated annually, wash your hands frequently, avoid close contact with sick people, and avoid touching your face.","Drink plenty of fluids such as water, tea, or soup to stay hydrated and help flush out toxins from the body.",Antiviral medications like oseltamivir or zanamivir may be prescribed by a healthcare provider to help shorten the duration of the flu and alleviate symptoms.
Allergies,"Avoid allergens, keep windows and doors closed during allergy season, and use an air purifier in your home.",Rinse your sinuses with a saline solution to help clear out allergens and relieve congestion.," Antihistamines like loratadine or cetirizine may be used to relieve symptoms of allergies like runny nose, sneezing, and itching. Nasal corticosteroids may also be prescribed to reduce inflammation in the nasal passages."
 Asthma,"Identify and avoid triggers, take prescribed medication as directed by your doctor, and maintain a healthy lifestyle.",Drink a warm cup of coffee to help open up airways and relieve wheezing and shortness of breath., Bronchodilators like albuterol or ipratropium may be used to help open up the airways and alleviate symptoms like wheezing and shortness of breath. Inhaled corticosteroids may also be prescribed to reduce inflammation in the airways.
 Bronchitis,"Quit smoking, avoid exposure to pollutants and irritants, and practice good hygiene to prevent the spread of infection.",Eat garlic or take a garlic supplement to help boost the immune system and fight off infection,"If the bronchitis is caused by a bacterial infection, antibiotics like amoxicillin or azithromycin may be prescribed. Bronchodilators may also be used to help open up the airways and alleviate symptoms like coughing and shortness of breath."
Pneumonia,"Get vaccinated, practice good hygiene to prevent the spread of infection, and avoid smoking and exposure to pollutants and irritants.",Take a warm bath with Epsom salts to help reduce fever and relieve muscle aches and pains.," Antibiotics may be prescribed to treat bacterial pneumonia. If the pneumonia is severe, hospitalization may be required and oxygen therapy or mechanical ventilation may be necessary."
Tuberculosis (TB),"Get vaccinated, avoid close contact with people who have TB, and practice good hygiene to prevent the spread of infection.","Consume a diet rich in vitamin C, such as citrus fruits and berries, to help boost the immune system and fight off infection.",A combination of antibiotics may be prescribed for several months to treat TB. It's important to take all medications as prescribed and to avoid spreading the infection to others.
 Sinusitis,"Keep your nasal passages moist, use a humidifier, avoid exposure to irritants and pollutants, and treat allergies promptly.",Apply a warm compress to the face to help relieve sinus pressure and reduce inflammation.,Decongestants like pseudoephedrine or phenylephrine may be used to relieve congestion. Nasal corticosteroids may also be prescribed to reduce inflammation in the sinuses.
Strep throat,"Wash your hands frequently, avoid close contact with sick people, and avoid sharing personal items.", Drink warm water with honey and apple cider vinegar to help soothe a sore throat and reduce inflammation.,Antibiotics like penicillin or amoxicillin may be prescribed to treat strep throat.
Tonsillitis,"Practice good oral hygiene, avoid sharing personal items, and avoid close contact with sick people.",Gargle with warm salt water to help reduce swelling and soothe a sore throat.,"If the tonsillitis is caused by a bacterial infection, antibiotics like penicillin or amoxicillin may be prescribed. In some cases, tonsillectomy (removal of the tonsils) may be recommended."
Coronary artery disease,"Maintaining a healthy lifestyle, such as eating a balanced diet, regular exercise, not smoking, controlling blood pressure, and managing stress can help prevent coronary artery disease.","Some home remedies that may help manage symptoms associated with coronary artery disease include regular exercise, eating a healthy diet that is low in saturated and trans fats, reducing stress, and quitting smoking."," Statins, aspirin, beta-blockers, nitroglycerin."
Heart failure,"Monitoring and managing conditions such as high blood pressure, diabetes, and obesity, as well as avoiding excessive alcohol and drug use, can help prevent heart failure.","Home remedies that may help manage symptoms associated with heart failure include eating a low-sodium diet, limiting fluid intake, staying physically active, and quitting smoking.","ACE inhibitors, beta-blockers, diuretics, digoxin."
Arrhythmia,"Reducing stress, limiting caffeine intake, and avoiding alcohol and tobacco use may help prevent some forms of arrhythmia.","Home remedies that may help manage symptoms associated with arrhythmia include reducing stress, avoiding caffeine and alcohol, and practicing relaxation techniques such as deep breathing or meditation.","Beta-blockers, calcium channel blockers, anti-arrhythmic drugs, pacemaker/defibrillator."
Atherosclerosis,"A healthy lifestyle, including a balanced diet, regular exercise, and not smoking, can help prevent atherosclerosis","Some home remedies that may help manage symptoms associated with atherosclerosis include consuming foods rich in fiber, omega-3 fatty acids, and antioxidants, such as fruits, vegetables, nuts, and fish. Regular exercise, quitting smoking, and managing stress may also help.","Statins, aspirin, niacin, blood thinners."
Congenital heart defects,"Prevention is not always possible, but avoiding risk factors such as smoking and alcohol use during pregnancy may help reduce the risk of congenital heart defects.","Home remedies for managing congenital heart defects will depend on the specific defect and its severity. Generally, it is important to maintain a healthy lifestyle, avoid smoking and alcohol, and seek prompt medical attention if symptoms arise.","Prostaglandins, ACE inhibitors, diuretics, digoxin."
Cardiomyopathy,"There is no sure way to prevent cardiomyopathy, but managing underlying conditions such as high blood pressure and diabetes, and avoiding excessive alcohol use, can help reduce the risk.","Home remedies that may help manage symptoms associated with cardiomyopathy include maintaining a healthy weight, eating a healthy diet, staying physically active, and avoiding excessive alcohol use."," ACE inhibitors, beta-blockers, diuretics, anti-arrhythmic drugs."
Mitral valve prolapse,"There is no guaranteed way to prevent mitral valve prolapse, but managing conditions such as high blood pressure and avoiding stimulants such as caffeine and tobacco may help.","Some home remedies that may help manage symptoms associated with mitral valve prolapse include avoiding caffeine and tobacco use, managing stress, and practicing relaxation techniques.","Beta-blockers, calcium channel blockers, anti-arrhythmic drugs, surgery."
Aortic stenosis,"Prevention is not always possible, but avoiding risk factors such as smoking, high blood pressure, and high cholesterol may help reduce the risk of aortic stenosis.","Home remedies for managing aortic stenosis will depend on the severity of the condition. Generally, it is important to maintain a healthy lifestyle, manage blood pressure and cholesterol levels, and seek prompt medical attention if symptoms arise.","Diuretics, ACE inhibitors, beta-blockers, surgery."
Pericarditis,"Prevention is not always possible, but avoiding risk factors such as viral infections, autoimmune diseases, and previous heart surgery may help reduce the risk of pericarditis.","Some home remedies that may help manage symptoms associated with pericarditis include taking over-the-counter pain relievers, resting, applying heat or cold to the affected area, and avoiding activities that may worsen symptoms.","NSAIDs, colchicine, steroids, antibiotics."
Myocarditis," Prevention is not always possible, but avoiding viral infections and other infections that can lead to myocarditis, as well as seeking prompt medical attention if symptoms of myocarditis arise, can help reduce the risk.","Home remedies for managing myocarditis will depend on the severity of the condition. Generally, it is important to get plenty of rest, eat a healthy diet, stay hydrated, and avoid strenuous physical activity until symptoms improve."," Supportive care, anti-inflammatory drugs, antiviral drugs, immunosuppressants."
