symptoms,diagnosis
Hypertension,Lisinopril
Diabetes,Metformin
Asthma,Albuterol
Migraine,Sumatriptan
High Cholesterol,Atorvastatin
GERD,Omeprazole
Depression,Escitalopram
Arthritis,Celecoxib
Urinary Tract Infection,Ciprofloxacin
Allergies,Loratadine
Psoriasis,Methotrexate
Osteoporosis,Alendronate
Heart Failure,Furosemide
Chronic Bronchitis,Tiotropium
Gastritis,Ranitidine
Multiple Sclerosis,Interferon beta-1a
Parkinson's Disease,Levodopa-Carbidopa
Bipolar Disorder,Lithium carbonate
Glaucoma,Timolol
Acne,Tretinoin (Topical Retinoids)
